Food,Calories,Fat,Carbs,Protein,Fiber
Souvla Chicken Salad,516,36,8,40,5.5
Joe&Juice Spicy Tuna,658.6,38.1,54.3,27.5,7
Beit Rima Chicken Plate,971,48.8,60.1,71.4,8.9
Souvla Lamb Sandwich,527,27,29,42,4.5
Jpn curry no rice,868.3,27,102.7,53.3,14.2
Jpn curry paste,500,30,50,5,0
Halal Guys,978,47,81,60,0.6
生姜焼き(300g),773.2,48.7,15.6,68.4,4.2
Melt Swiss Burger,890,58,45,50,2
Rou Jia Mo,375.9,14.6,34.7,24.5,0.4
Souvla Frozen Yogurt,224,6,37,7,0
Pork Kimchi,583,36.2,26,36.8,6.7
Burma Love Fried Chicken,845.8,58.1,12.9,67.6,1.3
Large Chicken Burrito,1000,30,110,50,15
Starbucks Bacon Egg Bites,300,20,9,19,0.3
Starbucks Sausage Cheddar Sando,480,29,34,18,0.6
Taro Milk Tea,304,13.3,36.2,12.1,3.3
6 Takoyaki,348,15,35,18,1
Calbi Dinner,1141.8,56.9,90.4,63.5,13.7
Super Duper Burger,670,41,39,37,1.1
Peet's Bacon Cheddar Brioche,460,26,37,22,0.5
Acai Bowl,570,22,84,14,3
2 slices salmon toast,227.6,7,30.5,15,1
Proper Food Turkey Avo Sando,580,27,45,44,2
6 Pork Cabbage Dumpings,338,14.7,28,20.3,1
Hot Pot,767.8,43.4,44.9,55,17.3
Mushroom cream sauce,379.4,20.8,10.2,8.9,1.8
 , , , , ,
300g french fries,820,40,112,10,2
Waraku Ramen,973,70.6,34.5,49.8,4
Proper Food Steak B Burrito,533.2,19.8,42.3,25.8,1.2
Taluc Nachos,1240.4,72.6,70.5,78.2,7
Firy Tofu,632,45,32,34,3.2
KFC Thigh,330,23,9,22,0.4
KFC Pot Pie,790,45,66,29,1.2
Melt Tomato Soup,100,5,6,0,0.5
苏伯汤 (400g pork),1622.4,74.6,149.6,98.2,29.1
100g Mac & Cheese,203,9.4,21.5,7.9,0.4
红烧肉 (450g pork),1294.2,44.9,127,94.7,11.4
苏伯汤 (450g pork broccoli no potato),1357.1,67.1,94.2,107.3,29.2
Le Marais Croissant Sandwich,862.6,54.3,37.4,52.6,3.1
Acai Bowl,401,11.9,74.6,9,9.1
Luke's Lobster Roll,300,19,27,27,0
1 cup clam chowder,163,5.8,19,8.8,2
Proper Cobb Salad,550,39.5,12,34.8,2.5
100g butter chicken,202,14.5,4.3,13.9,1
Mokuku shabu (390g meat),1101.1,75.3,32.7,81,6.9
Proper Fruit Cup,120,0,32,1,1
Proper Yogurt Parfait,260,9,31,17,0.8
Bamboo Asia Thai chicken/pork bowl,1043.4,50.3,63.1,88.1,12.8
